,GR,RT,NPHI,RHOB,PHIE,VCL,SW
count,22802.0,22859.0,20363.0,20363.0,20291.0,22802.0,20050.0
mean,53.51052998645051,1.8640219612614728,0.3834425555731474,2.1557275732413737,0.2924847315892818,0.20946214243258338,0.9296073520396502
std,27.08819424100702,10.631987623257535,0.13203788390510046,0.22031512684328708,0.10194932544547737,0.18287770480155033,0.11922160671103585
min,6.342400074,0.246183157,0.0471199565,1.372335434,0.0,0.0,0.016566735908164112
25%,32.61298084275,0.7282206118,0.2762037367,2.01940870285,0.22788796394107386,0.02177484035625,0.8856265762436917
50%,54.7284145355,1.1105929613,0.4297335446,2.0900964737,0.30979401227092246,0.20607012112916667,1.0
75%,70.59797668499999,1.7856951952000002,0.4846188128,2.2844581604,0.3626336578576954,0.33831647237499995,1.0
max,446.89071655,1224.1386719,0.7062469125,2.9038183689,0.6229204674162463,1.0,1.0
